time,sfe,ssip,rfip,type
"08/13/2020, 13:57:26",1,0,1.0,0
"08/13/2020, 13:57:28",10,8,1.0,0
"08/13/2020, 13:57:30",0,0,1.0,0
"08/13/2020, 13:57:32",6,3,1.0,0
"08/13/2020, 13:57:34",0,0,1.0,0
"08/13/2020, 13:57:36",0,0,1.0,0
"08/13/2020, 13:57:38",4,1,1.0,0
"08/13/2020, 13:57:40",8,2,1.0,0
"08/13/2020, 13:57:42",0,0,1.0,0
"08/13/2020, 13:57:44",6,0,1.0,0
"08/13/2020, 13:57:46",4,1,1.0,0
"08/13/2020, 13:57:48",0,0,1.0,0
"08/13/2020, 13:57:50",6,0,1.0,0
"08/13/2020, 13:57:52",2,0,1.0,0
"08/13/2020, 13:57:54",2,0,1.0,0
"08/13/2020, 13:57:56",2,0,1.0,0
"08/13/2020, 13:57:58",2,0,1.0,0
"08/13/2020, 13:58:00",4,0,1.0,0
"08/13/2020, 13:58:02",0,0,1.0,0
"08/13/2020, 13:58:04",6,0,1.0,0
"08/13/2020, 13:58:06",0,0,1.0,0
"08/13/2020, 13:58:08",2,0,1.0,0
"08/13/2020, 13:58:10",2,0,1.0,0
"08/13/2020, 13:58:12",6,0,1.0,0
"08/13/2020, 13:58:14",0,0,1.0,0
"08/13/2020, 13:58:16",8,0,1.0,0
"08/13/2020, 13:58:18",0,0,1.0,0
"08/13/2020, 13:58:20",0,0,1.0,0
"08/13/2020, 13:58:22",4,0,1.0,0
"08/13/2020, 13:58:24",6,0,1.0,0
"08/13/2020, 13:58:26",2,0,1.0,0
"08/13/2020, 13:58:28",4,0,1.0,0
"08/13/2020, 13:58:30",2,0,1.0,0
"08/13/2020, 13:58:32",4,0,1.0,0
"08/13/2020, 13:58:34",2,0,1.0,0
"08/13/2020, 13:58:36",0,0,1.0,0
"08/13/2020, 13:58:38",2,0,1.0,0
"08/13/2020, 13:58:40",2,0,1.0,0
"08/13/2020, 13:58:42",0,0,1.0,0
"08/13/2020, 13:58:44",6,0,1.0,0
"08/13/2020, 13:58:46",0,0,1.0,0
"08/13/2020, 13:58:48",0,0,1.0,0
"08/13/2020, 13:58:50",0,0,1.0,0
"08/13/2020, 13:58:52",2,0,1.0,0
"08/13/2020, 13:58:54",2,0,1.0,0
"08/13/2020, 13:58:56",2,0,1.0,0
"08/13/2020, 13:58:58",0,0,1.0,0
"08/13/2020, 13:59:00",0,0,1.0,0
"08/13/2020, 13:59:02",8,2,1.0,0
"08/13/2020, 13:59:04",2,0,1.0,0
"08/13/2020, 13:59:06",4,0,1.0,0
"08/13/2020, 13:59:08",0,0,1.0,0
"08/13/2020, 13:59:10",0,0,1.0,0
"08/13/2020, 13:59:12",0,0,1.0,0
"08/13/2020, 13:59:14",0,0,1.0,0
"08/13/2020, 13:59:16",2,1,1.0,0
"08/13/2020, 13:59:18",6,1,1.0,0
"08/13/2020, 13:59:20",4,1,1.0,0
"08/13/2020, 13:59:22",4,0,1.0,0
"08/13/2020, 13:59:24",0,0,1.0,0
"08/13/2020, 13:59:26",2,0,1.0,0
"08/13/2020, 13:59:28",2,0,1.0,0
"08/13/2020, 13:59:30",2,0,1.0,0
"08/13/2020, 13:59:32",4,0,1.0,0
"08/13/2020, 13:59:34",0,0,1.0,0
"08/13/2020, 13:59:36",2,0,1.0,0
"08/13/2020, 13:59:38",0,0,1.0,0
"08/13/2020, 13:59:40",2,0,1.0,0
"08/13/2020, 13:59:42",4,0,1.0,0
"08/13/2020, 13:59:44",4,0,1.0,0
"08/13/2020, 13:59:46",4,0,1.0,0
"08/13/2020, 13:59:48",4,0,1.0,0
"08/13/2020, 13:59:50",4,0,1.0,0
"08/13/2020, 13:59:52",4,0,1.0,0
"08/13/2020, 13:59:54",2,0,1.0,0
"08/13/2020, 13:59:56",6,0,1.0,0
"08/13/2020, 13:59:58",2,0,1.0,0
"08/13/2020, 14:00:00",2,0,1.0,0
"08/13/2020, 14:00:02",6,0,1.0,0
"08/13/2020, 14:00:04",0,0,1.0,0
"08/13/2020, 14:00:06",4,0,1.0,0
"08/13/2020, 14:00:08",6,0,1.0,0
"08/13/2020, 14:00:10",2,0,1.0,0
"08/13/2020, 14:00:12",2,0,1.0,0
"08/13/2020, 14:00:14",2,0,1.0,0
"08/13/2020, 14:00:16",4,0,1.0,0
"08/13/2020, 14:00:18",4,0,1.0,0
"08/13/2020, 14:00:20",0,0,1.0,0
"08/13/2020, 14:00:22",6,0,1.0,0
"08/13/2020, 14:00:24",0,0,1.0,0
"08/13/2020, 14:00:26",6,0,1.0,0
"08/13/2020, 14:00:28",2,0,1.0,0
"08/13/2020, 14:00:30",6,0,1.0,0
"08/13/2020, 14:00:32",0,0,1.0,0
"08/13/2020, 14:00:34",0,0,1.0,0
"08/13/2020, 14:00:36",0,0,1.0,0
"08/13/2020, 14:00:38",0,0,1.0,0
"08/13/2020, 14:00:40",6,0,1.0,0
"08/13/2020, 14:00:42",4,0,1.0,0
"08/13/2020, 14:00:44",2,0,1.0,0
"08/13/2020, 14:00:46",0,0,1.0,0
"08/13/2020, 14:00:48",0,0,1.0,0
"08/13/2020, 14:00:50",1,0,0.9961977186311787,0
"08/13/2020, 14:00:52",1,0,1.0,0
"08/13/2020, 14:00:54",0,0,1.0,0
"08/13/2020, 14:00:56",0,0,1.0,0
"08/13/2020, 14:00:58",2,0,1.0,0
"08/13/2020, 14:01:00",0,0,1.0,0
"08/13/2020, 14:01:02",0,0,1.0,0
"08/13/2020, 14:01:04",0,0,1.0,0
"08/13/2020, 14:01:06",2,0,1.0,0
"08/13/2020, 14:01:08",0,0,1.0,0
"08/13/2020, 14:01:10",0,0,1.0,0
"08/13/2020, 14:01:12",0,0,1.0,0
"08/13/2020, 14:01:14",0,0,1.0,0
"08/13/2020, 14:01:16",2,0,1.0,0
"08/13/2020, 14:01:18",0,0,1.0,0
"08/13/2020, 14:01:20",0,0,1.0,0
"08/13/2020, 14:01:22",0,0,1.0,0
"08/13/2020, 14:01:24",0,0,1.0,0
"08/13/2020, 14:01:26",0,0,1.0,0
"08/13/2020, 14:01:28",0,0,1.0,0
"08/13/2020, 14:01:30",0,0,1.0,0
"08/13/2020, 14:01:32",0,0,1.0,0
"08/13/2020, 14:01:34",0,0,1.0,0
"08/13/2020, 14:01:36",0,0,1.0,0
"08/13/2020, 14:01:38",0,0,1.0,0
"08/13/2020, 14:01:40",0,0,1.0,0
"08/13/2020, 14:01:42",0,0,1.0,0
"08/13/2020, 14:01:44",0,0,1.0,0
"08/13/2020, 14:01:46",0,0,1.0,0
"08/13/2020, 14:01:48",0,0,1.0,0
"08/13/2020, 14:01:50",0,0,1.0,0
"08/13/2020, 14:01:52",0,0,1.0,0
"08/13/2020, 14:01:54",0,0,1.0,0
"08/13/2020, 14:01:56",0,0,1.0,0
"08/13/2020, 14:01:58",0,0,1.0,0
"08/13/2020, 14:02:00",0,0,1.0,0
"08/13/2020, 14:02:02",0,0,1.0,0
"08/13/2020, 14:02:04",0,0,1.0,0
"08/13/2020, 14:02:06",0,0,1.0,0
"08/13/2020, 14:02:08",0,0,1.0,0
"08/13/2020, 14:02:10",0,0,1.0,0
"08/13/2020, 14:02:12",0,0,1.0,0
"08/13/2020, 14:02:14",0,0,1.0,0
"08/13/2020, 14:02:16",0,0,1.0,0
"08/13/2020, 14:02:18",0,0,1.0,0
"08/13/2020, 14:02:20",0,0,1.0,0
"08/13/2020, 14:02:22",0,0,1.0,0
"08/13/2020, 14:02:24",0,0,1.0,0
"08/13/2020, 14:02:26",0,0,1.0,0
"08/13/2020, 14:02:28",0,0,1.0,0
"08/13/2020, 14:02:30",0,0,1.0,0
"08/13/2020, 14:02:32",0,0,1.0,0
"08/13/2020, 14:02:34",0,0,1.0,0
"08/13/2020, 14:02:36",0,0,1.0,0
"08/13/2020, 14:02:38",0,0,1.0,0
"08/13/2020, 14:02:40",0,0,1.0,0
"08/13/2020, 14:02:42",0,0,1.0,0
"08/13/2020, 14:02:44",0,0,1.0,0
"08/13/2020, 14:02:46",0,0,1.0,0
"08/13/2020, 14:02:48",0,0,1.0,0
"08/13/2020, 14:02:50",0,0,1.0,0
"08/13/2020, 14:02:52",0,0,1.0,0
"08/13/2020, 14:02:54",0,0,1.0,0
"08/13/2020, 14:02:56",0,0,1.0,0
"08/13/2020, 14:02:58",0,0,1.0,0
"08/13/2020, 14:03:00",0,0,1.0,0
"08/13/2020, 14:03:02",0,0,1.0,0
"08/13/2020, 14:03:04",0,0,1.0,0
"08/13/2020, 14:03:06",0,0,1.0,0
"08/13/2020, 14:03:08",0,0,1.0,0
"08/13/2020, 14:03:10",0,0,1.0,0
"08/13/2020, 14:03:12",0,0,1.0,0
"08/13/2020, 14:03:14",0,0,1.0,0
"08/13/2020, 14:03:16",0,0,1.0,0
"08/13/2020, 14:03:18",0,0,1.0,0
"08/13/2020, 14:03:20",0,0,1.0,0
"08/13/2020, 14:03:22",0,0,1.0,0
"08/13/2020, 14:03:24",0,0,1.0,0
"08/13/2020, 14:03:26",0,0,1.0,0
"08/13/2020, 14:03:29",0,0,1.0,0
"08/13/2020, 14:03:30",0,0,1.0,0
"08/13/2020, 14:03:32",0,0,1.0,0
"08/13/2020, 14:03:34",0,0,1.0,0
"08/13/2020, 14:03:36",0,0,1.0,0
"08/13/2020, 14:03:38",0,0,1.0,0
"08/13/2020, 14:03:40",0,0,1.0,0
"08/13/2020, 14:03:42",0,0,1.0,0
"08/13/2020, 14:03:44",0,0,1.0,0
"08/13/2020, 14:03:46",0,0,1.0,0
"08/13/2020, 14:03:48",0,0,1.0,0
"08/13/2020, 14:03:50",0,0,1.0,0
"08/13/2020, 14:03:53",0,0,1.0,0
"08/13/2020, 14:03:55",0,0,1.0,0
time,sfe,ssip,rfip,type
"08/13/2020, 14:10:58",43,42,0.0,1
"08/13/2020, 14:11:00",65,65,0.0,1
"08/13/2020, 14:11:02",64,64,0.0,1
"08/13/2020, 14:11:04",65,65,0.0,1
"08/13/2020, 14:11:06",64,64,0.0,1
"08/13/2020, 14:11:08",64,64,0.0,1
"08/13/2020, 14:11:10",65,65,0.0,1
"08/13/2020, 14:11:12",64,64,0.0,1
"08/13/2020, 14:11:14",65,65,0.0,1
"08/13/2020, 14:11:16",64,64,0.0,1
"08/13/2020, 14:11:18",65,65,0.0,1
"08/13/2020, 14:11:20",64,64,0.0,1
"08/13/2020, 14:11:22",65,65,0.0,1
"08/13/2020, 14:11:24",26,26,0.0,1
"08/13/2020, 14:11:26",56,56,0.0,1
"08/13/2020, 14:11:28",55,55,0.0,1
"08/13/2020, 14:11:30",56,56,0.0,1
"08/13/2020, 14:11:32",56,56,0.0,1
"08/13/2020, 14:11:34",55,55,0.0,1
"08/13/2020, 14:11:36",56,56,0.0,1
"08/13/2020, 14:11:38",55,55,0.0,1
"08/13/2020, 14:11:40",56,56,0.0,1
"08/13/2020, 14:11:42",56,56,0.0,1
"08/13/2020, 14:11:44",55,55,0.0,1
"08/13/2020, 14:11:46",56,56,0.0,1
"08/13/2020, 14:11:48",55,55,0.0,1
"08/13/2020, 14:11:51",56,56,0.0,1
"08/13/2020, 14:11:52",55,55,0.0,1
"08/13/2020, 14:11:54",56,56,0.0,1
"08/13/2020, 14:11:57",56,56,0.0,1
"08/13/2020, 14:11:58",56,56,0.0,1
"08/13/2020, 14:12:00",35,35,0.0,1
"08/13/2020, 14:12:02",41,41,0.0,1
"08/13/2020, 14:12:04",48,48,0.0,1
"08/13/2020, 14:12:06",49,49,0.0,1
"08/13/2020, 14:12:08",49,49,0.0,1
"08/13/2020, 14:12:10",49,49,0.0,1
"08/13/2020, 14:12:12",49,49,0.0,1
"08/13/2020, 14:12:14",48,48,0.0,1
"08/13/2020, 14:12:16",49,49,0.0,1
"08/13/2020, 14:12:19",49,49,0.0,1
"08/13/2020, 14:12:20",49,49,0.0,1
"08/13/2020, 14:12:23",49,49,0.0,1
"08/13/2020, 14:12:25",49,49,0.0,1
"08/13/2020, 14:12:26",48,48,0.0,1
"08/13/2020, 14:12:29",49,49,0.0,1
"08/13/2020, 14:12:30",49,49,0.0,1
"08/13/2020, 14:12:33",49,49,0.0,1
"08/13/2020, 14:12:35",49,49,0.0,1
"08/13/2020, 14:12:37",49,49,0.0,1
"08/13/2020, 14:12:39",49,49,0.0,1
"08/13/2020, 14:12:41",49,49,0.0,1
"08/13/2020, 14:12:43",31,31,0.0,1
"08/13/2020, 14:12:45",37,37,0.0,1
"08/13/2020, 14:12:47",43,43,0.0,1
"08/13/2020, 14:12:49",44,44,0.0,1
"08/13/2020, 14:12:51",43,43,0.0,1
"08/13/2020, 14:12:53",44,44,0.0,1
"08/13/2020, 14:12:55",43,43,0.0,1
"08/13/2020, 14:12:57",44,44,0.0,1
"08/13/2020, 14:12:59",44,44,0.0,1
"08/13/2020, 14:13:01",43,43,0.0,1
"08/13/2020, 14:13:03",44,44,0.0,1
"08/13/2020, 14:13:05",43,43,0.0,1
"08/13/2020, 14:13:07",28,28,0.0,1
"08/13/2020, 14:13:09",33,33,0.0,1
"08/13/2020, 14:13:11",40,40,0.0,1
"08/13/2020, 14:13:13",39,39,0.0,1
"08/13/2020, 14:13:15",39,39,0.0,1
"08/13/2020, 14:13:17",39,39,0.0,1
"08/13/2020, 14:13:19",40,40,0.0,1
"08/13/2020, 14:13:21",39,39,0.0,1
"08/13/2020, 14:13:23",39,39,0.0,1
"08/13/2020, 14:13:25",39,39,0.0,1
"08/13/2020, 14:13:27",40,40,0.0,1
"08/13/2020, 14:13:29",39,39,0.0,1
"08/13/2020, 14:13:32",39,39,0.0,1
"08/13/2020, 14:13:33",35,35,0.0,1
"08/13/2020, 14:13:35",24,24,0.0,1
"08/13/2020, 14:13:37",40,40,0.0,1
"08/13/2020, 14:13:39",39,39,0.0,1
"08/13/2020, 14:13:41",39,39,0.0,1
"08/13/2020, 14:13:43",40,40,0.0,1
"08/13/2020, 14:13:45",39,39,0.0,1
"08/13/2020, 14:13:47",39,39,0.0,1
"08/13/2020, 14:13:49",39,39,0.0,1
"08/13/2020, 14:13:51",40,40,0.0,1
"08/13/2020, 14:13:53",39,39,0.0,1
"08/13/2020, 14:13:55",39,39,0.0,1
"08/13/2020, 14:13:58",40,40,0.0,1
"08/13/2020, 14:13:59",39,39,0.0,1
"08/13/2020, 14:14:01",72,72,0.0004554771122751082,1
"08/13/2020, 14:14:04",185,185,0.00043706293706293706,1
"08/13/2020, 14:14:05",185,185,0.0004200798151648813,1
"08/13/2020, 14:14:08",185,185,0.0004043671653861706,1
"08/13/2020, 14:14:10",163,163,0.00039146604032100216,1
"08/13/2020, 14:14:12",176,176,0.0003784295175023652,1
"08/13/2020, 14:14:14",80,80,0.0003727865796831314,1
"08/13/2020, 14:14:16",121,121,0.0003645643456069996,1
"08/13/2020, 14:14:18",83,83,0.0003591309032142216,1
"08/13/2020, 14:14:20",64,64,0.0003550505947097461,1
"08/13/2020, 14:14:23",130,130,0.00034704147145583897,1
"08/13/2020, 14:14:25",140,140,0.000338810774182619,1
"08/13/2020, 14:14:28",148,148,0.0003305238803503553,1
"08/13/2020, 14:14:30",155,155,0.0003222687721559781,1
"08/13/2020, 14:14:33",119,119,0.00031620553359683795,1
"08/13/2020, 14:14:36",106,106,0.00031099362463069506,1
"08/13/2020, 14:14:39",129,129,0.0003048780487804878,1
"08/13/2020, 14:14:42",154,154,0.0002978850163836759,1
"08/13/2020, 14:14:45",147,147,0.0002915026963999417,1
"08/13/2020, 14:14:48",149,149,0.0002853067047075606,1
"08/13/2020, 14:14:51",137,137,0.0002798376941374003,1
"08/13/2020, 14:14:55",148,148,0.00027416038382453733,1
"08/13/2020, 14:14:58",84,84,0.0002710394362379726,1
"08/13/2020, 14:15:02",126,126,0.0002664890073284477,1
"08/13/2020, 14:15:05",122,122,0.0002622263012980202,1
"08/13/2020, 14:15:09",140,140,0.00025749967812540236,1
"08/13/2020, 14:15:12",142,142,0.00025287646984448094,1
"08/13/2020, 14:15:16",136,136,0.0002486016159105034,1
"08/13/2020, 14:15:20",131,131,0.0002446183953033268,1
"08/13/2020, 14:15:24",87,87,0.00024204284158296018,1
"08/13/2020, 14:15:28",51,51,0.00024055809477988935,1
"08/13/2020, 14:15:31",34,34,0.00023957834211787255,1
"08/13/2020, 14:15:36",74,74,0.00023747328425552126,1
"08/13/2020, 14:15:40",122,122,0.00023408239700374532,1
"08/13/2020, 14:15:44",122,122,0.00023078698361412417,1
"08/13/2020, 14:15:48",121,121,0.00022760896779333106,1
"08/13/2020, 14:15:53",141,141,0.00022401433691756272,1
"08/13/2020, 14:15:58",133,133,0.0002207261891623441,1
"08/13/2020, 14:16:03",135,135,0.00021748586341887777,1
"08/13/2020, 14:16:07",92,92,0.0002153316106804479,1
"08/13/2020, 14:16:12",37,37,0.00021447721179624664,1
"08/13/2020, 14:16:16",87,87,0.00021249468763280918,1
"08/13/2020, 14:16:21",34,34,0.00021172983273343214,1
